date,ore_extracted,equipment_workload,avg_processing_cost,pit_utilization_rate,production_intensity,operational_cost,haul_trips,safety_compliance_score,efficiency_index,operational_noise,revenue,profit,risk_zone,mine_region,shutdown_risk
3/26/2014,109.624.117.674.612,818.147.144.119.586,291.041.407.575.831,726.716.953.966.388,617.644.983.172.952,NA,259.455.301.382.113,64.614.510.743.915,133.990.711.160.618,354.486.001.510.223,405.795.494.557.825,132.461.407.350.065,Medium Risk,Kalimantan,No
3/27/2014,857.465.485.459.346,741.666.436.059.339,601.085.866.116.919,568.486.150.153.795,510.670.285.229.313,540.727.269.243.837,470.433.382.795.442,75.880.228.719.418,115.613.359.829.963,-90.210.267.857.908,328.564.740.818.179,111.267.975.402.363,Low Risk,Sulawesi,No
3/28/2014,112.957.149.425.163,740.319.796.697.885,529.610.722.542.275,693.613.344.618.927,664.473.621.361.676,508.665.778.373.298,2.700.057.236.664,575.318.881.280.628,152.578.858.392.003,184.699.041.588.166,431.064.214.637.718,153.173.489.343.887,High Risk,Kalimantan,No
3/29/2014,101.537.119.449.508,116.857.277.613.502,NA,636.773.848.430.262,569.394.876.920.475,612.637.583.816.233,3.250.625.226.181,698.211.186.776.775,868.898.553.202.097,103.583.591.525.214,37.238.704.834.872,101.761.179.246.597,Low Risk,Papua,No
3/30/2014,670.084.081.032.281,539.256.857.894.141,305.982.632.578.816,825.583.584.599.446,644.494.967.140.785,554.275.033.093.051,242.150.760.695.804,722.709.168.184.649,111.680.680.172.047,-15.812.401.925.093,322.260.265.242.947,107.135.867.343.617,Low Risk,Papua,No
3/31/2014,100.125.280.577.653,740.239.225.525.579,189.093.431.830.406,588.439.573.362.521,395.131.011.576.232,639.860.818.644.792,177.203.598.960.768,799.009.277.307.012,135.260.706.437.926,-580.080.727.779.851,36.880.236.372.293,119.819.778.256.153,Low Risk,Papua,No
4/1/2014,64.924.014.939.347,507.253.341.404.771,411.405.217.514.839,751.356.407.756.796,533.637.436.371.768,590.206.487.700.992,147.484.263.628.721,956.004.357.841.685,108.206.691.565.578,746.542.768.630.048,261.874.633.840.221,721.574.986.711.087,High Risk,Sulawesi,No
4/2/2014,78.925.770.015.881,839.292.208.528.915,336.832.465.946.209,778.545.430.884.203,782.218.553.628.716,493.293.993.316.246,347.281.075.939.536,642.924.713.528.372,940.384.876.850.217,11.814.960.734.795,370.603.305.794.481,138.663.265.743.912,Low Risk,Sulawesi,No
4/3/2014,937.675.745.598.177,75.391.676.603.311,534.563.455.672.469,740.040.438.406.769,391.929.891.833.015,439.783.358.523.726,290.467.732.544.057,823.168.903.592.292,124.373.908.081.651,563.827.722.887.415,368.048.474.198.974,138.907.545.467.711,Low Risk,Papua,No
4/4/2014,109.094.643.392.031,924.797.697.887.991,416.600.871.256.087,630.521.826.836.141,509.252.017.484.975,496.021.080.417.824,200.942.812.620.196,927.201.681.123.021,117.965.954.760.891,-562.183.588.819.278,410.225.695.627.288,155.338.670.265.496,Medium Risk,Kalimantan,No
4/5/2014,711.956.817.780.741,696.485.547.051.541,596.020.067.196.805,645.287.594.503.422,744.588.847.149.351,520.503.401.013.222,533.835.228.798.045,83.178.663.922.404,102.221.334.067.117,-187.190.571.658.331,326.705.675.690.087,92.429.947.759.459,Low Risk,Sulawesi,No
4/6/2014,892.384.481.134.624,664.763.018.007.895,295.310.542.988.591,669.401.580.649.423,541.861.598.144.957,608.263.252.150.531,30.594.410.771.504,94.627.161.018.716,134.240.993.701.612,-887.506.868.230.193,358.858.967.924.679,112.177.897.392.417,Low Risk,Kalimantan,No
4/7/2014,106.505.995.899.182,101.775.854.146.576,349.088.869.753.759,497.854.128.646.466,354.088.495.068.474,253.181.063.985.388,942.155.832.541.175,553.000.893.604.393,104.647.607.030.439,-851.804.650.087.415,432.018.441.400.141,162.093.778.765.039,Medium Risk,Sulawesi,No
4/8/2014,856.769.512.296.751,756.543.881.239.755,475.757.745.748.851,687.011.752.258.921,63.134.078.897.319,653.903.722.718.007,234.686.470.739.543,776.983.342.240.985,113.247.827.858.016,-975.190.321.372.382,32.445.150.074.985,10.201.143.716.478,Low Risk,Papua,No
4/9/2014,526.363.292.744.686,40,560.150.420.847.349,838.625.607.942.875,509.634.275.074.051,365.305.861.122.503,226.388.790.286.146,907.930.935.390.534,877.272.154.574.476,-152.531.633.138.271,264.215.491.065.008,98.762.711.418.602,Medium Risk,Kalimantan,No
4/10/2014,101.750.916.754.002,846.380.200.820.865,636.187.186.837.196,582.712.649.698.821,564.346.242.279.169,541.140.647.031.754,229.488.523.865.584,715.953.197.334.826,120.218.923.664.942,629.307.572.714.667,373.630.174.244.762,14.354.665.714.154,Low Risk,Sulawesi,No
4/11/2014,961.646.307.126.609,98.994.555.546.476,533.744.438.707.363,78.753.554.119.986,697.976.513.922.168,632.342.805.832.879,369.850.731.573.533,827.019.385.920.172,971.413.328.559.402,-109.043.271.011.951,382.526.241.697.913,13.643.223.758.723,Low Risk,Kalimantan,No
4/12/2014,101.832.742.352.815,974.541.064.758.519,195.635.692.442.302,768.133.667.212.571,521.275.539.782.824,419.649.673.485.977,101.962.286.364.287,714.609.212.855.421,104.493.023.470.539,110.766.145.718.958,395.936.060.013.665,133.051.669.025.683,High Risk,Papua,No
4/13/2014,840.640.880.176.719,53.983.153.314.623,583.112.378.062.215,83.542.568.926.946,761.064.486.708.468,611.969.282.056.192,74.869.204.330.566,637.628.401.965.653,140.106.813.362.786,-191.670.342.726.326,386.261.409.110.174,125.514.867.860.509,Medium Risk,Sulawesi,No
4/14/2014,106.973.961.454.898,874.930.018.590.371,242.799.779.763.445,702.920.578.002.845,308.390.047.885.076,513.707.829.841.073,195.772.529.176.902,811.945.827.016.241,122.265.734.609.549,562.437.755.495.904,397.583.816.265.512,140.178.453.987.667,Low Risk,Sulawesi,No
4/15/2014,880.637.654.081.214,620.126.615.310.582,318.241.781.338.584,768.960.292.332.421,46.960.389.824.762,566.234.963.691.754,114.683.301.828.336,82.313.284.933.308,142.009.330.407.494,-138.744.045.260.985,365.932.524.532.168,105.565.746.047.747,Low Risk,Papua,No
4/16/2014,858.654.678.900.042,646.950.890.664.575,584.039.831.254.631,98.116.757.838.951,647.011.795.186.094,579.888.494.534.737,99.533.874.860.499,817.907.424.364.953,132.723.316.605.685,-72.534.430.309.014,363.268.846.627.035,116.419.420.731.008,Low Risk,Sulawesi,No
4/17/2014,835.073.791.049.909,762.301.014.306.815,382.656.637.299.806,756.286.739.931.371,578.294.019.149.669,494.804.750.286.159,405.176.221.202.128,869.581.228.457.838,109.546.462.011.371,249.316.598.590.999,377.125.867.631.412,118.745.729.869.803,Low Risk,Papua,No
4/18/2014,126.584.167.616.452,123.414.523.136.797,265.169.427.196.961,544.495.942.251.804,305.560.626.991.246,NA,285.013.035.647.571,769.337.565.953.751,102.568.291.315.393,-250.925.475.592.174,455.663.087.365.001,163.019.836.398.499,Low Risk,Papua,No
4/19/2014,999.358.406.760.412,987.143.768.066.715,352.860.015.309.416,752.345.921.090.922,459.398.238.476.149,574.560.685.506.071,179.210.413.852.707,822.665.163.316.853,101.237.371.808.325,-744.166.305.902.647,365.441.294.562.393,141.502.805.054.249,Low Risk,Papua,No
4/20/2014,414.498.520.372.469,470.669.787.101.756,353.067.106.327.508,753.978.454.955.319,389.603.550.903.814,591.770.972.389.337,181.464.975.960.553,709.479.674.724.256,690.830.867.287.448,285.446.898.757.321,24.563.178.875.667,592.628.762.287.928,Low Risk,Sulawesi,No
4/21/2014,768.242.156.276.267,670.116.725.651.569,491.708.571.924.828,759.593.139.774.886,73.962.684.640.087,624.035.013.614.875,360.106.356.830.802,729.585.552.962.658,114.643.035.588.955,-483.420.718.220.091,307.496.222.375.715,83.859.820.042.344,Low Risk,Sulawesi,No
4/22/2014,987.473.092.289.924,815.296.834.362.035,459.805.138.374.213,990.182.013.698.014,661.953.072.487.873,40.091.383.218.673,256.705.398.664.344,59.946.733.534.572,12.111.822.966.449,-322.329.652.567.641,432.361.933.839.195,160.457.911.264.715,Low Risk,Papua,No
4/23/2014,737.152.254.998.309,776.404.704.918.373,554.644.532.243.256,8.067.905.737.202,497.383.297.120.648,636.387.957.277.401,279.445.911.236.107,700.536.448.034.014,949.443.312.654.589,102.176.880.322.858,284.531.975.318.686,962.577.327.009.571,Low Risk,Kalimantan,No
4/24/2014,70.083.823.955.958,820.165.523.448.808,388.413.472.578.395,72.739.792.487.039,304.892.975.091.968,664.559.370.156.124,402.281.850.760.337,779.175.612.296.952,854.508.290.732.028,666.055.015.213.863,306.571.353.711.809,101.379.346.488.321,Medium Risk,Sulawesi,No
4/25/2014,710.009.323.867.948,437.759.299.138.136,240.629.913.748.708,967.979.808.698.054,440.999.301.849.947,459.868.293.682.047,173.211.706.622.969,71.108.435.478.877,118.334.887.311.325,-312.345.195.762.471,336.790.036.643.552,935.247.230.611.718,Medium Risk,Papua,No
4/26/2014,913.936.199.846.022,650.276.913.538.665,194.975.469.934.288,640.513.358.314.278,261.356.879.942.359,423.501.397.420.601,293.099.638.503.045,646.769.649.920.644,140.545.693.814.129,46.250.553.043.647,397.217.846.226.382,128.983.253.614.715,Low Risk,Papua,No
4/27/2014,754.872.485.031.666,611.169.521.928.539,NA,840.657.427.663.656,752.853.456.126.192,59.571.917.313.586,111.817.971.377.168,771.661.675.893.833,123.512.782.942.722,-155.129.974.885.802,31.701.725.806.513,106.897.791.726.455,Low Risk,Kalimantan,No
4/28/2014,848.251.634.557.553,603.148.176.019.909,428.794.571.333.565,71.740.847.533.346,446.052.953.406.742,531.989.934.398.908,153.560.807.041.358,851.901.896.429.178,140.637.353.851.428,117.421.220.191.781,327.469.884.028.162,NA,Low Risk,Kalimantan,No
4/29/2014,825.950.863.143.029,640.178.056.549.274,40.347.095.775.418,636.489.584.012.372,497.586.052.084.309,679.656.677.328.887,252.706.394.407.433,865.467.188.031.064,12.901.892.757.698,-61.423.624.494.131,314.992.082.615.425,110.585.592.372.655,Low Risk,Papua,No
4/30/2014,822.734.462.192.656,723.955.680.838.898,279.688.012.178.522,8.231.932.948.981,566.168.541.277.753,NA,279.005.222.115.666,799.083.213.219.119,113.644.313.314.773,-605.525.003.058.449,363.684.054.624.606,133.358.034.923.181,Low Risk,Papua,No
5/1/2014,755.014.315.395.876,669.033.988.877.048,303.545.789.648.779,671.739.256.620.141,527.688.828.426.186,422.507.697.495.852,396.250.214.197.207,800.073.297.610.849,112.851.413.821.762,207.770.718.655.128,347.114.885.081.506,122.369.493.776.641,Medium Risk,Sulawesi,No
5/2/2014,70.820.175.138.686,841.321.736.868.061,268.355.115.612.503,594.817.529.289.508,548.309.082.116.534,30.356.703.366.689,91.973.559.090.402,689.904.617.204.526,841.772.796.722.501,-130.441.277.873.887,314.958.785.428.694,11.409.185.868.813,Low Risk,Kalimantan,No
5/3/2014,112.553.822.981.787,795.976.677.027.856,207.534.014.803.823,658.866.715.311.872,450.432.663.112.849,589.994.228.712.855,303.763.929.863.926,803.597.172.695.027,141.403.418.253.482,-113.367.729.873.661,418.634.030.170.363,144.596.603.175.768,Low Risk,Sulawesi,No
5/4/2014,100.957.806.119.049,770.461.136.011.893,340.891.843.303.107,612.117.425.572.402,474.614.333.712.093,500.290.635.873.497,337.222.008.495.592,725.822.473.527.577,131.035.559.615.159,-860.388.239.880.472,398.813.052.820.378,124.470.115.492.402,Low Risk,Papua,No
5/5/2014,874.294.506.322.401,728.516.830.997.098,192.179.375.528.358,515.183.533.903.943,32.277.220.914.798,529.969.907.237.476,308.358.720.196.411,751.762.143.896.513,120.010.200.056.158,-827.100.886.984.738,374.728.108.655.025,138.271.599.848.174,Low Risk,Kalimantan,No
5/6/2014,875.018.130.410.123,6.903.035.697.452,190.486.199.837.178,630.275.624.250.946,340.410.494.357.206,341.294.793.897.054,128.306.440.666.784,828.281.015.900.702,126.758.453.637.014,-106.315.672.011.806,37.700.228.934.342,132.048.797.304.344,Medium Risk,Papua,No
5/7/2014,891.171.339.203.845,44.941.161.632.188,42.108.347.857.371,693.500.872.843.719,587.922.948.634.236,670.098.365.242.055,317.048.069.760.203,905.341.644.075.013,148.528.556.533.974,-328.502.479.449.525,346.223.882.097.142,944.969.763.452.327,Low Risk,Papua,No
5/8/2014,118.246.758.439.489,10.692.582.961.345,447.300.604.959.019,773.305.982.711.521,572.819.508.350.892,459.990.637.344.832,103.836.724.993.307,880.162.794.793.326,110.587.646.471.359,-792.286.035.259.925,419.907.472.085.335,139.400.509.417.591,Medium Risk,Kalimantan,No
5/9/2014,784.916.532.148.912,726.001.232.991.305,52.093.792.607.775,669.741.542.638.953,697.566.280.730.988,637.048.378.581.223,18.966.584.620.066,664.385.633.232.334,108.115.041.198.327,142.825.665.224.325,316.567.405.648.462,846.610.153.285.859,High Risk,Papua,Yes
5/10/2014,642.446.850.395.658,566.868.142.637.805,248.282.177.161.891,664.154.818.291.878,257.569.517.743.225,600.075.954.989.302,365.392.966.812.942,665.524.747.813.961,107.074.475.065.943,105.808.842.378.947,289.799.159.559.408,115.959.875.755.452,Medium Risk,Papua,No
5/11/2014,863.474.458.671.356,63.627.136.641.448,302.800.161.088.817,638.712.122.583.743,449.457.250.022.511,464.806.721.256.782,410.106.149.793.137,886.849.605.324.121,135.708.520.648.542,125.105.632.978.774,382.476.673.160.898,134.476.356.039.096,High Risk,Sulawesi,No
5/12/2014,951.493.256.646.451,112.452.279.575.391,592.459.280.688.781,100,529.215.308.805.331,794.740.257.322.723,400.813.549.642.917,766.245.200.361.396,846.130.696.717.933,863.023.994.341.495,361.212.276.348.893,987.991.330.319.216,Low Risk,Papua,No
5/13/2014,873.704.281.301.752,496.126.906.944.353,24.856.001.209.002,594.288.405.693.565,376.363.548.375.701,560.894.763.637.777,253.148.527.471.349,767.106.092.365.125,145.617.380.216.959,-174.119.810.086.013,372.535.739.036.602,130.790.595.945.547,Low Risk,Papua,No
5/14/2014,775.389.711.181.635,775.234.117.921.585,324.395.872.943.569,847.862.791.395.272,483.951.981.073.885,583.426.877.453.316,266.878.715.360.072,679.601.801.658.646,100.020.070.486.638,206.126.984.366.412,35.589.314.472.261,116.427.117.150.539,Medium Risk,Sulawesi,No
5/15/2014,100.522.028.313.211,108.375.854.740.483,38.293.970.694.067,56.431.259.022.617,38.635.867.765.514,572.451.436.141.551,153.735.134.499.148,627.728.863.157.324,927.531.584.908.105,-980.096.551.227.062,348.401.015.256.796,11.100.826.408.084,Medium Risk,Kalimantan,No
5/16/2014,112.404.704.258.593,688.185.422.845.669,394.930.491.864.216,645.139.807.307.595,39.974.858.522.548,324.838.075.646.926,382.535.398.355.685,542.331.613.073.033,163.334.910.224.915,-196.175.072.346.036,473.284.606.221.357,165.199.213.772.366,Low Risk,Papua,No
5/17/2014,859.646.923.771.625,62.805.550.309.471,210.466.118.943.878,846.654.286.899.356,779.823.133.878.546,408.129.241.118.093,134.142.419.777.345,817.594.625.809.935,136.874.355.775.208,-368.427.865.761.093,351.379.867.923.158,144.593.884.721.195,High Risk,Papua,No
5/18/2014,118.532.147.947.075,112.632.021.178.538,562.252.539.813.053,655.058.888.470.706,64.702.204.114.002,400.960.625.976.999,255.871.028.609.108,835.619.753.248.891,105.238.409.740.676,182.834.679.528.308,438.745.997.918.411,171.595.029.624.764,Low Risk,Papua,No
5/19/2014,596.622.531.054.687,650.985.990.226.622,244.039.777.894.504,591.778.940.869.537,447.507.334.859.089,499.924.475.603.639,364.311.746.503.226,856.753.981.535.288,916.490.585.069.259,-139.734.178.057.369,318.029.085.613.298,NA,Low Risk,Papua,No
5/20/2014,706.305.917.749.346,601.703.142.640.415,541.758.141.876.198,633.776.231.836.201,667.140.129.590.101,544.998.519.341.849,190.845.152.554.102,7.801.906.357.972,117.384.448.857.938,405.129.945.965.032,301.958.258.310.065,910.195.716.778.953,Low Risk,Sulawesi,No
5/21/2014,105.316.114.025.346,923.312.606.686.688,185.259.256.660.938,834.928.798.306.122,525.846.889.872.844,63.523.138.038.264,412.778.847.597.074,764.209.842.620.776,114.063.333.764.361,-113.055.160.999.683,404.238.948.078.234,118.623.368.034.205,Medium Risk,Kalimantan,No
5/22/2014,74.719.598.166.233,709.193.496.188.124,441.161.655.567.121,826.524.608.732.542,586.866.300.302.386,666.800.571.743.691,352.661.218.161.229,60.997.712.914.173,105.358.549.631.161,187.966.101.873.487,321.013.131.757.967,947.727.351.294.747,Medium Risk,Kalimantan,No
5/23/2014,105.794.296.696.093,92.904.196.696.724,424.645.156.830.084,623.817.907.602.821,570.503.022.330.578,639.005.254.123.668,330.092.320.956.755,842.569.482.270.863,113.874.615.418.555,147.069.610.822.782,37.826.778.849.838,133.351.111.153.326,Low Risk,Papua,No
5/24/2014,730.781.348.581.422,613.858.963.225.434,241.538.939.846.214,913.969.337.385.361,425.988.444.236.195,NA,301.234.702.400.398,776.099.068.491.879,119.047.108.922.485,135.656.174.739.547,322.240.239.772.136,10.205.055.199.858,Low Risk,Papua,No
5/25/2014,107.093.229.252.268,818.516.184.506.992,498.204.641.307.238,920.487.393.078.845,832.471.184.900.434,NA,122.968.015.833.758,697.726.015.261.128,13.083.825.497.815,-144.766.252.078.702,414.427.717.622.385,158.437.140.494.892,High Risk,Sulawesi,No
5/26/2014,781.588.288.509.727,485.796.733.559.988,540.660.244.813.189,676.878.523.478.617,589.994.956.446.595,409.757.883.262.418,232.330.463.707.913,699.260.932.503.938,130.264.714.751.621,894.447.333.643.418,35.394.936.819.445,134.277.535.113.544,Low Risk,Papua,No
5/27/2014,844.124.916.927.848,757.987.800.162.903,478.233.883.057.255,879.772.046.436.028,619.661.341.094.935,551.656.896.583.467,409.808.856.560.849,708.364.262.810.477,111.363.918.620.647,-665.706.726.878.037,361.708.662.807.788,NA,Medium Risk,Kalimantan,No
5/28/2014,914.297.664.850.522,798.529.094.491.848,336.099.156.623.241,536.893.822.331.226,543.833.878.757.934,43.813.998.217.534,272.723.630.662.076,692.261.361.614.283,114.497.727.278.471,964.134.658.988.939,382.801.223.248.749,123.041.194.892.029,Low Risk,Papua,No
5/29/2014,62.603.355.829.472,614.163.684.182.078,51.846.060.735.872,867.119.121.677.526,772.269.342.316.824,557.066.435.195.223,262.853.800.565.936,77.793.074.806.675,101.932.689.023.847,-137.423.613.393.093,285.123.275.922.122,931.643.288.049.556,Low Risk,Papua,No
5/30/2014,842.420.101.296.112,597.909.827.125.122,470.779.400.104.657,710.283.160.241.203,59.913.930.226.498,340.785.992.491.557,354.075.556.991.156,894.455.315.705.153,140.403.350.216.019,17.178.776.160.584,378.402.931.967.042,135.085.612.064.809,Medium Risk,Sulawesi,No
5/31/2014,853.913.251.683.432,84.756.638.642.004,27.601.466.599.619,904.530.933.273.999,438.544.701.427.342,590.816.036.985.541,301.474.335.396.197,898.655.100.319.157,100.748.833.998.738,179.559.218.604.214,335.588.198.841.662,NA,Low Risk,Kalimantan,No
6/1/2014,107.346.836.525.389,105.397.665.345.215,44.900.268.730.009,822.868.860.035.092,59.271.696.967.479,601.132.495.737.711,274.518.251.863.774,863.556.156.937.278,101.849.349.483.967,-542.051.322.627.278,386.476.384.904.604,NA,Low Risk,Papua,No
6/2/2014,66.128.178.151.533,522.194.563.726.947,501.971.325.385.384,723.123.736.555.916,254.956.780.958.214,717.847.362.988.624,275.158.281.326.294,773.838.245.600.088,110.213.630.252.555,264.089.449.711.977,262.961.213.803.094,775.661.348.603.496,Medium Risk,Papua,No
6/3/2014,108.055.588.275.753,9.268.733.723.143,576.699.466.155.842,7.289.722.533.445,588.382.564.317.036,620.098.932.468.454,359.630.753.444.508,879.456.428.329.388,116.580.745.011.533,257.758.655.756.924,421.236.656.969.937,118.756.772.239.823,Low Risk,Kalimantan,No
6/4/2014,83.313.629.824.332,104.058.157.517.035,382.621.430.912.986,676.093.879.912.483,550.273.376.699.718,414.512.911.975.243,130.867.562.969.215,773.680.802.803.415,80.064.486.833.426,-87.008.952.590.807,336.657.601.289.808,102.396.179.391.365,Medium Risk,Kalimantan,No
6/5/2014,78.371.932.800.478,516.762.405.587.182,395.577.605.704.311,671.789.144.825.211,68.385.691.835.977,439.439.091.167.731,396.245.583.251.584,867.554.548.816.037,130.619.888.000.797,-222.876.021.620.844,372.360.645.492.032,114.671.447.434.661,Medium Risk,Sulawesi,No
6/6/2014,101.681.920.171.555,801.904.896.276.793,333.978.402.535.431,673.123.042.802.018,715.175.540.576.364,43.834.618.848.207,314.985.033.734.702,670.274.276.226.327,126.800.473.028.235,-705.820.062.478.979,408.647.504.373.221,129.857.055.415.082,High Risk,Kalimantan,No
6/7/2014,904.564.059.272.291,771.362.383.180.749,538.810.284.025.967,709.807.486.177.692,729.706.856.276.319,654.849.533.505.096,254.067.790.999.543,704.749.017.668.457,117.268.365.556.313,847.951.459.453.087,347.423.839.571.014,131.898.382.913.985,Low Risk,Sulawesi,No
6/8/2014,100.900.140.641.483,121.934.384.803.301,407.967.183.904.257,709.808.211.566.589,588.668.695.188.541,592.449.047.273.305,367.852.494.749.241,820.393.429.527.083,827.495.384.540.224,-611.064.998.680.518,383.881.752.392.421,104.955.835.480.063,Low Risk,Papua,No
6/9/2014,114.129.778.819.756,948.938.843.300.217,569.771.383.272.018,491.423.708.218.206,683.667.652.909.565,544.720.399.370.835,397.510.962.251.108,850.674.859.015.401,120.270.952.786.415,-174.155.016.145.838,393.392.029.652.443,145.907.148.463.334,Low Risk,Sulawesi,No
6/10/2014,840.270.016.057.741,727.399.297.691.311,440.991.396.524.478,64.270.685.175.983,731.096.344.499.066,60.157.524.342.762,168.241.749.687.586,808.388.743.497.936,115.517.023.280.703,-760.050.173.530.871,336.300.197.797.413,102.708.342.810.076,Medium Risk,Kalimantan,No
6/11/2014,534.565.015.782.138,40,399.725.989.592.262,913.305.596.892.165,564.289.153.995.195,469.587.658.188.449,322.667.969.833.128,605.740.117.109.277,890.941.692.970.231,229.716.014.110.202,286.072.559.778.593,765.411.159.966.428,Medium Risk,Sulawesi,No
6/12/2014,758.063.065.944.421,781.751.351.582.011,216.279.032.160.528,779.651.570.719.896,255.044.131.186.826,30.718.832.501.256,334.459.297.761.787,749.289.783.047.151,969.698.439.804.865,-773.744.227.052.762,364.178.020.009.255,124.908.037.358.525,High Risk,Papua,No
6/13/2014,811.119.183.809.423,68.200.844.306.085,191.743.990.366.813,749.517.738.894.698,401.766.560.624.708,528.905.810.595.919,157.375.088.492.408,677.064.045.087.275,118.930.959.295.625,847.780.574.349.418,324.734.945.077.157,107.461.229.080.168,Medium Risk,Papua,No
6/14/2014,864.824.601.344.414,693.056.508.596.497,315.025.232.345.797,498.886.621.246.332,404.288.888.445.466,608.782.478.572.773,391.469.555.308.577,864.230.088.498.869,124.784.139.621.712,375.869.059.829.962,355.942.448.425.712,118.605.706.966.341,Medium Risk,Papua,No
6/15/2014,570.547.811.811.265,40,608.898.340.563.755,835.643.943.479.865,865.586.543.099.355,439.096.230.127.181,151.946.579.196.956,726.658.827.252.991,950.913.019.685.442,-529.965.314.965.425,263.470.785.712.532,826.779.937.835.166,Medium Risk,Kalimantan,No
6/16/2014,722.477.678.155.608,768.212.153.588.132,644.032.645.358.238,569.640.394.962.398,494.833.092.906.311,43.860.655.587.991,108.945.939.377.882,603.876.942.758.174,94.046.634.745.505,-765.600.097.795.825,303.053.538.348.432,118.087.083.212.613,Low Risk,Sulawesi,No
6/17/2014,765.667.012.683.741,655.720.527.859.157,299.076.033.509.336,667.915.225.099.033,383.751.282.118.758,685.544.314.821.435,163.048.291.923.478,808.652.309.261.559,116.767.278.154.848,358.818.698.041.138,271.953.850.783.296,937.434.728.377.344,Low Risk,Papua,No
6/18/2014,810.488.319.982.728,549.614.685.279.549,54.992.472.719.634,614.080.673.421.077,655.190.420.313.581,440.348.489.933.302,327.692.468.077.876,676.553.023.025.912,135.081.386.663.788,-630.219.841.890.759,331.265.057.952.051,127.824.264.436.729,Medium Risk,Kalimantan,No
6/19/2014,735.795.618.028.852,43.889.543.924.184,223.818.292.596.843,803.944.649.190.647,67.747.841.392.594,50.580.358.450.593,251.091.512.858.402,646.939.903.034.909,122.632.603.004.809,976.417.741.826.559,352.168.209.596.095,132.260.518.093.975,Low Risk,Kalimantan,No
6/20/2014,757.931.364.114.884,63.843.871.412.989,50.306.495.849.276,636.365.186.359.604,48.718.029.981.572,NA,323.894.586.253.446,650.069.411.555.502,118.716.385.353.894,113.978.176.773.051,318.151.156.804.047,803.281.192.236.243,Low Risk,Sulawesi,No
6/21/2014,116.799.769.619.678,112.928.098.902.375,NA,69.064.910.532.591,460.108.610.274.963,573.234.853.231.222,2.265.840.452.048,802.305.945.260.934,103.428.438.763.191,541.384.366.587.924,437.370.103.779.838,149.921.253.750.722,Low Risk,Kalimantan,No
6/22/2014,817.433.592.510.053,648.707.945.943.653,NA,81.640.378.304.803,725.270.384.165.189,51.354.140.893.613,235.349.877.441.768,864.612.159.134.128,126.009.492.811.278,-612.264.512.743.571,31.491.929.169.245,811.153.546.287.719,Low Risk,Papua,No
6/23/2014,616.736.671.120.725,62.331.846.562.527,533.705.943.170.935,637.481.567.723.392,608.903.129.214.468,538.839.372.017.563,362.102.005.574.852,781.955.537.170.096,989.440.719.523.778,154.570.385.850.183,299.092.027.955.111,938.757.349.132.247,Low Risk,Sulawesi,No
6/24/2014,657.148.347.279.759,58.120.454.280.182,627.338.407.682.255,78.912.821.908.896,601.852.700.890.845,388.897.435.421.479,394.502.240.444.999,8.982.256.141.552,109.524.724.546.626,161.702.121.771.264,308.827.194.846.194,955.797.157.994.582,High Risk,Kalimantan,No
6/25/2014,854.532.198.932.687,748.448.510.113.598,460.223.424.159.922,822.903.056.400.654,473.982.642.584.712,392.689.294.734.916,292.484.145.476.483,886.343.643.325.782,114.173.812.544.966,-110.083.713.605.516,363.565.236.995.339,105.133.929.784.982,Low Risk,Kalimantan,No
6/26/2014,118.580.533.564.413,809.933.955.699.733,625.410.657.636.821,503.337.127.291.569,625.235.069.856.733,526.495.599.222.063,318.349.209.045.991,999.459.689.008.649,146.407.657.970.046,906.439.303.153.164,425.132.400.032.004,151.476.813.530.288,Medium Risk,Sulawesi,No
6/27/2014,959.590.005.478.942,778.169.947.896.853,269.453.295.224.812,62.720.186.035.949,245.922.740.247.952,544.754.524.524.533,154.765.534.729.231,711.643.627.742.503,123.313.680.780.453,-388.837.324.627.523,341.782.328.545.328,115.202.089.369.135,Low Risk,Kalimantan,No
6/28/2014,61.924.838.676.288,57.748.978.961.696,640.979.912.364.855,726.776.028.566.694,673.483.391.816.757,53.719.950.416.866,129.563.426.231.034,832.030.405.746.626,10.320.806.446.048,57.336.316.966.219,256.684.510.394.895,884.721.485.344.206,Low Risk,Kalimantan,No
6/29/2014,840.537.627.199.009,856.862.651.516.862,258.922.534.342.855,832.304.188.658.714,410.948.739.020.291,466.919.030.265.327,380.038.832.535.502,878.704.842.514.185,980.947.910.042.579,129.269.442.386.492,357.894.512.960.881,123.211.798.121.688,Low Risk,Kalimantan,No
6/30/2014,710.722.722.194.499,414.344.863.213.819,NA,625.148.142.280.477,621.819.977.763.735,435.266.223.197.895,270.753.786.193.673,8.698.319.761.835,118.453.787.032.417,-104.363.235.495.923,292.227.849.966.134,100.654.527.225.486,Low Risk,Papua,No
7/1/2014,643.641.469.865.899,696.451.354.962.211,280.283.830.845.729,886.154.507.425.808,560.403.383.182.072,562.073.380.098.988,384.447.731.568.944,837.850.538.920.739,92.417.290.206.984,-881.669.735.201.576,309.776.611.881.334,NA,High Risk,Sulawesi,No
7/2/2014,865.906.918.783.292,908.155.804.181.474,594.167.133.185.547,592.574.784.679.664,492.353.043.686.209,48.908.402.234.673,962.521.018.415.147,63.419.762.529.459,953.478.373.200.222,818.602.307.816.163,393.358.919.235.159,137.900.470.813.209,Low Risk,Papua,No
